description,nof_floor,garage,garden,backdoor,nof_bathroom,nof_room,h_id
C,2,0x796573,0x796573,0x796573,2,5,1
"9 Walter St in Worcester, MA was built in 1962 with a total of 1036 sq ft. The current listing price for this property is 164000 with a per sq ft price of 158.3. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the West Side Neigborhood Worcester, MA-. Directions: Pleasant to Moreland to Walter. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,2
"10 Maplewood Rd in Worcester, MA was built in 1953 with a total of 728 sq ft. The current listing price for this property is 149900 with a per sq ft price of 205.91. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Chamberlain Pkwy to Maplewood Rd. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,4,3
"54 richmond Ave in Worcester, MA was built in 1898 with a total of 2600 sq ft. The current listing price for this property is 149999 with a per sq ft price of 57.69. The property has 2 floors, 4 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: pleasant st. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,13,4
"15 Saxon Rd in Worcester, MA was built in 1940 with a total of 1993 sq ft. The current listing price for this property is 255000 with a per sq ft price of 127.95. The property has 2 floors, 13 bedrooms, 3 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Richmond to Greenbriar to Saxon. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,5
"87 Vassar Street in Worcester, MA was built in 1950 with a total of 1368 sq ft. The current listing price for this property is 159700 with a per sq ft price of 116.74. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the West Side Neigborhood Worcester, MA-. Directions: Richmond to Lull, left on Vassar. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,6
"4 Dawson Rd in Worcester, MA was built in 1928 with a total of 1842 sq ft. The current listing price for this property is 119000 with a per sq ft price of 64.6. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-. Directions: Pleasant St., Mower St., Olean St., Dawson St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,8,7
"3 Zenith Dr in Worcester, MA was built in 1938 with a total of 2500 sq ft. The current listing price for this property is 229000 with a per sq ft price of 91.6. The property has 2 floors, 8 bedrooms, 3 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: May st to Zenith-. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,4,10,8
"7 Zenith Drive in Worcester, MA was built in 1948 with a total of 2942 sq ft. The current listing price for this property is 249900 with a per sq ft price of 84.94. The property has 2 floors, 10 bedrooms, 4 bathrooms, and 4 parking spaces. The property is located in the West Side Neigborhood Worcester, MA-Doherty H.S.. Directions: May Street to Zenith Drive. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,9,9
"431 Mill Street in Worcester, MA was built in 1940 with a total of 1604 sq ft. The current listing price for this property is 169000 with a per sq ft price of 105.36. The property has 2 floors, 9 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Chandler to Mill or June to Mill or Park Ave to Mill. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,10
"5 Moore Ave in Worcester, MA was built in 1920 with a total of 1805 sq ft. The current listing price for this property is 229900 with a per sq ft price of 127.37. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Moreland to High Ridge to Moore. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,11
"8 Ward Farm Cir in Worcester, MA was built in 1985 with a total of 1800 sq ft. The current listing price for this property is 199000 with a per sq ft price of 110.56. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Park Avenue to Mill Street to Ward Farm Circle. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,12
"8 Ashmore Road in Worcester, MA was built in 1900 with a total of 2087 sq ft. The current listing price for this property is 189900 with a per sq ft price of 90.99. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty. Directions: Off Pleasant Street - Near Moreland. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,13
"21 Kinney Dr in Worcester, MA was built in 1956 with a total of 1308 sq ft. The current listing price for this property is 149900 with a per sq ft price of 114.6. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Tatnuck Sq to Olean St, right on Kinney. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,14
