h_id,h_rating,image,h_type,city,release_date,nof_room,price
1,4,www.google.com,deck,Worcester,0000-00-00,2,121917
2,4,www.google.com,single family,Worcester,0000-00-00,5,164000
3,4,www.google.com,single family,Worcester,0000-00-00,4,149900
4,4,www.google.com,single family,Worcester,0000-00-00,13,149999
5,4,www.google.com,single family,Worcester,0000-00-00,8,255000
6,4,www.google.com,single family,Worcester,0000-00-00,6,159700
7,4,www.google.com,single family,Worcester,0000-00-00,8,119000
8,3,www.google.com,single family,Worcester,0000-00-00,10,229000
9,3,www.google.com,single family,Worcester,0000-00-00,9,249900
10,3,www.google.com,single family,Worcester,0000-00-00,7,169000
11,3,www.google.com,single family,Worcester,0000-00-00,8,229900
12,3,www.google.com,single family,Worcester,0000-00-00,5,199000
13,3,www.google.com,single family,Worcester,0000-00-00,7,189900
14,3,www.google.com,single family,Worcester,0000-00-00,5,149900
15,3,www.google.com,single family,Worcester,0000-00-00,4,147400
16,3,www.google.com,single family,Worcester,0000-00-00,6,174900
17,3,www.google.com,single family,Worcester,0000-00-00,5,87000
18,3,www.google.com,single family,Worcester,0000-00-00,6,242500
19,3,www.google.com,single family,Worcester,0000-00-00,6,199900
20,3,www.google.com,single family,Worcester,0000-00-00,6,124900
21,3,www.google.com,single family,Worcester,0000-00-00,6,110000
22,3,www.google.com,single family,Worcester,0000-00-00,7,179000
23,3,www.google.com,single family,Worcester,0000-00-00,5,74900
24,4,www.google.com,single family,Worcester,0000-00-00,8,227900
25,4,www.google.com,single family,Worcester,0000-00-00,6,205000
26,4,www.google.com,single family,Worcester,0000-00-00,6,141000
27,4,www.google.com,single family,Worcester,0000-00-00,7,224900
28,2,www.google.com,single family,Worcester,0000-00-00,7,189900
29,2,www.google.com,single family,Worcester,0000-00-00,5,189000
30,2,www.google.com,single family,Worcester,0000-00-00,8,227900
31,2,www.google.com,single family,Worcester,0000-00-00,7,197699
32,2,www.google.com,single family,Worcester,0000-00-00,10,176899
33,2,www.google.com,single family,Worcester,0000-00-00,9,209900
34,2,www.google.com,single family,Worcester,0000-00-00,5,143500
35,2,www.google.com,single family,Worcester,0000-00-00,8,259500
36,2,www.google.com,single family,Worcester,0000-00-00,6,200000
37,2,www.google.com,single family,Worcester,0000-00-00,8,249900
38,2,www.google.com,single family,Worcester,0000-00-00,6,79900
39,2,www.google.com,single family,Worcester,0000-00-00,7,195000
40,2,www.google.com,single family,Worcester,0000-00-00,6,129900
41,2,www.google.com,single family,Worcester,0000-00-00,8,215000
42,2,www.google.com,single family,Worcester,0000-00-00,7,169900
43,2,www.google.com,single family,Worcester,0000-00-00,7,189900
44,2,www.google.com,single family,Worcester,0000-00-00,6,149000
45,2,www.google.com,single family,Worcester,0000-00-00,6,179900
46,4,www.google.com,single family,Worcester,0000-00-00,5,250000
47,4,www.google.com,single family,Worcester,0000-00-00,5,86000
48,4,www.google.com,single family,Worcester,0000-00-00,6,74900
49,4,www.google.com,single family,Worcester,0000-00-00,8,199000
50,4,www.google.com,single family,Worcester,0000-00-00,5,197900
51,4,www.google.com,single family,Worcester,0000-00-00,7,230000
52,4,www.google.com,single family,Worcester,0000-00-00,6,186900
53,4,www.google.com,single family,Worcester,0000-00-00,7,99900
54,4,www.google.com,single family,Worcester,0000-00-00,6,225000
55,4,www.google.com,single family,Worcester,0000-00-00,7,225000
56,4,www.google.com,single family,Worcester,0000-00-00,8,227500
57,4,www.google.com,single family,Worcester,0000-00-00,6,149900
58,4,www.google.com,single family,Worcester,0000-00-00,6,157900
59,4,www.google.com,single family,Worcester,0000-00-00,8,157900
60,4,www.google.com,single family,Worcester,0000-00-00,6,174900
61,4,www.google.com,single family,Worcester,0000-00-00,7,209900
62,4,www.google.com,single family,Worcester,0000-00-00,8,239900
63,4,www.google.com,single family,Worcester,0000-00-00,7,239000
64,4,www.google.com,single family,Worcester,0000-00-00,7,209900
65,4,www.google.com,single family,Worcester,0000-00-00,7,189900
66,4,www.google.com,single family,Worcester,0000-00-00,8,247000
67,4,www.google.com,single family,Worcester,0000-00-00,5,174900
68,4,www.google.com,single family,Worcester,0000-00-00,6,249900
69,4,www.google.com,single family,Worcester,0000-00-00,6,239900
70,4,www.google.com,single family,Worcester,0000-00-00,6,95000
71,4,www.google.com,single family,Worcester,0000-00-00,6,109000
72,4,www.google.com,single family,Worcester,0000-00-00,5,165000
73,4,www.google.com,single family,Worcester,0000-00-00,5,99900
74,4,www.google.com,single family,Worcester,0000-00-00,6,109900
75,4,www.google.com,single family,Worcester,0000-00-00,6,129999
76,4,www.google.com,single family,Worcester,0000-00-00,6,214999
77,4,www.google.com,single family,Worcester,0000-00-00,5,89900
78,4,www.google.com,single family,Worcester,0000-00-00,10,159000
79,4,www.google.com,single family,Worcester,0000-00-00,5,99900
80,4,www.google.com,single family,Worcester,0000-00-00,6,259900
81,4,www.google.com,single family,Worcester,0000-00-00,4,124900
82,4,www.google.com,single family,Worcester,0000-00-00,7,179900
83,4,www.google.com,single family,Worcester,0000-00-00,4,149700
84,4,www.google.com,single family,Worcester,0000-00-00,6,135000
85,4,www.google.com,single family,Worcester,0000-00-00,5,184900
86,4,www.google.com,single family,Worcester,0000-00-00,8,145000
87,4,www.google.com,single family,Worcester,0000-00-00,4,95000
88,4,www.google.com,single family,Worcester,0000-00-00,8,179900
89,4,www.google.com,single family,Worcester,0000-00-00,6,199900
90,4,www.google.com,single family,Worcester,0000-00-00,9,149000
91,4,www.google.com,single family,Worcester,0000-00-00,6,110000
92,4,www.google.com,single family,Worcester,0000-00-00,6,239500
93,4,www.google.com,single family,Worcester,0000-00-00,6,120000
94,4,www.google.com,single family,Worcester,0000-00-00,6,179900
95,4,www.google.com,single family,Worcester,0000-00-00,8,118900
96,4,www.google.com,single family,Worcester,0000-00-00,6,169900
97,4,www.google.com,single family,Worcester,0000-00-00,4,145900
98,4,www.google.com,single family,Worcester,0000-00-00,8,169900
99,4,www.google.com,single family,Worcester,0000-00-00,5,129900
100,4,www.google.com,single family,Worcester,0000-00-00,5,159000
101,4,www.google.com,single family,Worcester,0000-00-00,6,119900
102,4,www.google.com,single family,Worcester,0000-00-00,6,257900
103,4,www.google.com,single family,Worcester,0000-00-00,8,99900
104,3,www.google.com,single family,Worcester,0000-00-00,5,129900
105,3,www.google.com,single family,Worcester,0000-00-00,4,139900
106,3,www.google.com,single family,Worcester,0000-00-00,5,144900
107,3,www.google.com,single family,Worcester,0000-00-00,5,129000
108,3,www.google.com,single family,Worcester,0000-00-00,6,159900
109,3,www.google.com,single family,Worcester,0000-00-00,5,165000
110,3,www.google.com,single family,Worcester,0000-00-00,6,189000
111,3,www.google.com,single family,Worcester,0000-00-00,8,149109
112,3,www.google.com,single family,Worcester,0000-00-00,6,149900
113,3,www.google.com,single family,Worcester,0000-00-00,6,205000
114,3,www.google.com,single family,Worcester,0000-00-00,5,121917
115,3,www.google.com,single family,Worcester,0000-00-00,6,142500
116,3,www.google.com,single family,Worcester,0000-00-00,6,236900
117,3,www.google.com,single family,Worcester,0000-00-00,6,222222
118,3,www.google.com,single family,Worcester,0000-00-00,5,82000
119,3,www.google.com,single family,Worcester,0000-00-00,8,134000
120,3,www.google.com,single family,Worcester,0000-00-00,7,129900
121,4,www.google.com,single family,Worcester,0000-00-00,5,169900
122,4,www.google.com,single family,Worcester,0000-00-00,6,209900
123,4,www.google.com,single family,Worcester,0000-00-00,5,134900
124,4,www.google.com,single family,Worcester,0000-00-00,5,164900
125,2,www.google.com,single family,Worcester,0000-00-00,8,109000
126,1,www.google.com,single family,Worcester,0000-00-00,8,199900
127,4,www.google.com,single family,Worcester,0000-00-00,5,129900
128,4,www.google.com,single family,Worcester,0000-00-00,7,229900
129,5,www.google.com,single family,Worcester,0000-00-00,6,166300
130,5,www.google.com,single family,Worcester,0000-00-00,7,122000
131,5,www.google.com,single family,Worcester,0000-00-00,7,196500
132,5,www.google.com,single family,Worcester,0000-00-00,6,149000
133,5,www.google.com,single family,Worcester,0000-00-00,6,259000
134,5,www.google.com,single family,Worcester,0000-00-00,6,90300
135,5,www.google.com,single family,Worcester,0000-00-00,5,119900
136,5,www.google.com,single family,Worcester,0000-00-00,6,99000
137,5,www.google.com,single family,Worcester,0000-00-00,6,212500
138,5,www.google.com,single family,Worcester,0000-00-00,6,116000
139,5,www.google.com,single family,Worcester,0000-00-00,6,192000
140,5,www.google.com,single family,Worcester,0000-00-00,6,119900
141,5,www.google.com,single family,Worcester,0000-00-00,7,222500
142,5,www.google.com,single family,Worcester,0000-00-00,6,179900
143,5,www.google.com,single family,Worcester,0000-00-00,6,199900
144,5,www.google.com,single family,Worcester,0000-00-00,9,249000
145,5,www.google.com,single family,Worcester,0000-00-00,5,175000
146,5,www.google.com,single family,Worcester,0000-00-00,6,179000
147,5,www.google.com,single family,Worcester,0000-00-00,5,235000
148,5,www.google.com,single family,Worcester,0000-00-00,6,189900
149,5,www.google.com,apartment,Worcester,0000-00-00,6,85500
150,5,www.google.com,apartment,Worcester,0000-00-00,0,89865
151,5,www.google.com,apartment,Worcester,0000-00-00,7,150000
152,4,www.google.com,apartment,Worcester,0000-00-00,6,191925
153,4,www.google.com,apartment,Worcester,0000-00-00,5,150000
154,4,www.google.com,apartment,Worcester,0000-00-00,6,162900
155,3,www.google.com,apartment,Worcester,0000-00-00,6,160000
156,3,www.google.com,apartment,Worcester,0000-00-00,6,119900
157,3,www.google.com,apartment,Worcester,0000-00-00,8,175000
158,3,www.google.com,apartment,Worcester,0000-00-00,7,155000
159,3,www.google.com,apartment,Worcester,0000-00-00,5,129900
160,3,www.google.com,apartment,Worcester,0000-00-00,7,229900
161,3,www.google.com,apartment,Worcester,0000-00-00,4,90000
162,3,www.google.com,apartment,Worcester,0000-00-00,7,180000
163,3,www.google.com,apartment,Worcester,0000-00-00,3,119000
164,3,www.google.com,apartment,Worcester,0000-00-00,7,239000
165,3,www.google.com,apartment,Worcester,0000-00-00,7,239000
166,3,www.google.com,apartment,Worcester,0000-00-00,7,72400
167,3,www.google.com,apartment,Worcester,0000-00-00,6,185000
168,3,www.google.com,apartment,Worcester,0000-00-00,8,197300
169,3,www.google.com,apartment,Worcester,0000-00-00,7,108000
170,3,www.google.com,single family,Worcester,0000-00-00,6,234900
171,3,www.google.com,single family,Worcester,0000-00-00,4,120000
172,3,www.google.com,single family,Worcester,0000-00-00,6,244900
173,3,www.google.com,single family,Worcester,0000-00-00,6,225900
174,3,www.google.com,single family,Worcester,0000-00-00,6,244900
175,3,www.google.com,single family,Worcester,0000-00-00,8,194900
176,3,www.google.com,single family,Worcester,0000-00-00,6,224900
177,3,www.google.com,single family,Worcester,0000-00-00,4,159900
178,3,www.google.com,single family,Worcester,0000-00-00,8,234900
179,3,www.google.com,single family,Worcester,0000-00-00,6,164900
180,3,www.google.com,single family,Worcester,0000-00-00,6,174900
181,3,www.google.com,single family,Worcester,0000-00-00,7,225000
182,3,www.google.com,condo,Worcester,0000-00-00,7,189900
183,3,www.google.com,condo,Worcester,0000-00-00,4,145000
184,3,www.google.com,condo,Worcester,0000-00-00,4,109000
185,3,www.google.com,condo,Worcester,0000-00-00,8,143900
186,3,www.google.com,condo,Worcester,0000-00-00,7,135000
187,3,www.google.com,condo,Worcester,0000-00-00,7,116000
188,3,www.google.com,condo,Worcester,0000-00-00,8,259900
189,3,www.google.com,condo,Worcester,0000-00-00,6,110000
190,3,www.google.com,condo,Worcester,0000-00-00,5,139900
191,3,www.google.com,condo,Worcester,0000-00-00,6,73000
192,3,www.google.com,condo,Worcester,0000-00-00,6,114999
193,3,www.google.com,condo,Worcester,0000-00-00,5,89900
194,3,www.google.com,condo,Worcester,0000-00-00,6,149000
195,3,www.google.com,condo,Worcester,0000-00-00,6,128900
196,3,www.google.com,condo,Worcester,0000-00-00,7,170000
197,3,www.google.com,condo,Worcester,0000-00-00,7,254900
198,3,www.google.com,condo,Worcester,0000-00-00,6,149900
199,3,www.google.com,condo,Worcester,0000-00-00,11,100000
200,3,www.google.com,condo,Worcester,0000-00-00,6,149900
201,3,www.google.com,condo,Worcester,0000-00-00,7,239900
202,3,www.google.com,condo,Worcester,0000-00-00,7,99900
203,3,www.google.com,condo,Worcester,0000-00-00,7,169500
204,3,www.google.com,condo,Worcester,0000-00-00,8,145000
205,3,www.google.com,condo,Worcester,0000-00-00,15,63900
206,3,www.google.com,condo,Worcester,0000-00-00,10,169900
207,3,www.google.com,condo,Worcester,0000-00-00,7,199900
208,3,www.google.com,condo,Worcester,0000-00-00,5,129900
209,3,www.google.com,condo,Worcester,0000-00-00,8,69900
210,3,www.google.com,condo,Worcester,0000-00-00,8,74900
211,3,www.google.com,condo,Worcester,0000-00-00,9,89900
212,3,www.google.com,condo,Worcester,0000-00-00,8,185000
213,3,www.google.com,condo,Worcester,0000-00-00,6,167900
214,3,www.google.com,condo,Worcester,0000-00-00,6,129900
215,3,www.google.com,condo,Worcester,0000-00-00,8,222500
216,3,www.google.com,condo,Worcester,0000-00-00,7,159900
217,3,www.google.com,condo,Worcester,0000-00-00,8,254900
218,3,www.google.com,condo,Worcester,0000-00-00,8,259900
219,3,www.google.com,condo,Worcester,0000-00-00,8,254900
220,3,www.google.com,condo,Worcester,0000-00-00,8,259900
221,3,www.google.com,condo,Worcester,0000-00-00,7,109900
222,3,www.google.com,condo,Worcester,0000-00-00,6,199800
223,3,www.google.com,condo,Worcester,0000-00-00,5,120000
224,3,www.google.com,condo,Worcester,0000-00-00,10,164134
225,3,www.google.com,condo,Worcester,0000-00-00,6,175900
226,3,www.google.com,condo,Worcester,0000-00-00,6,99900
227,3,www.google.com,condo,Worcester,0000-00-00,7,159000
228,3,www.google.com,condo,Worcester,0000-00-00,4,104900
229,3,www.google.com,condo,Worcester,0000-00-00,6,218000
230,3,www.google.com,condo,Worcester,0000-00-00,6,194500
231,3,www.google.com,condo,Worcester,0000-00-00,6,71500
232,3,www.google.com,single family,Worcester,0000-00-00,7,99900
233,3,www.google.com,single family,Worcester,0000-00-00,5,112000
234,3,www.google.com,single family,Worcester,0000-00-00,6,174900
235,3,www.google.com,single family,Worcester,0000-00-00,5,129900
236,3,www.google.com,single family,Worcester,0000-00-00,4,139000
237,3,www.google.com,single family,Worcester,0000-00-00,5,179900
238,3,www.google.com,single family,Worcester,0000-00-00,6,215000
239,3,www.google.com,single family,Worcester,0000-00-00,6,215000
240,3,www.google.com,single family,Worcester,0000-00-00,6,215000
241,3,www.google.com,single family,Worcester,0000-00-00,6,215000
242,3,www.google.com,single family,Worcester,0000-00-00,6,223900
243,3,www.google.com,single family,Worcester,0000-00-00,7,224000
244,3,www.google.com,single family,Worcester,0000-00-00,6,159900
245,3,www.google.com,single family,Worcester,0000-00-00,7,179900
246,3,www.google.com,single family,Worcester,0000-00-00,6,144899
247,3,www.google.com,single family,Worcester,0000-00-00,6,188000
248,3,www.google.com,single family,Worcester,0000-00-00,4,172000
249,3,www.google.com,single family,Worcester,0000-00-00,6,169900
250,3,www.google.com,single family,Worcester,0000-00-00,5,213000
251,3,www.google.com,single family,Worcester,0000-00-00,5,169900
252,3,www.google.com,single family,Worcester,0000-00-00,6,179900
253,3,www.google.com,single family,Worcester,0000-00-00,7,164000
254,3,www.google.com,single family,Worcester,0000-00-00,8,229900
255,4,www.google.com,single family,Worcester,0000-00-00,7,179900
256,4,www.google.com,single family,Worcester,0000-00-00,8,229900
257,2,www.google.com,single family,Worcester,0000-00-00,7,224900
258,2,www.google.com,single family,Worcester,0000-00-00,6,189900
259,2,www.google.com,single family,Worcester,0000-00-00,6,179900
260,2,www.google.com,single family,Worcester,0000-00-00,7,239900
261,2,www.google.com,single family,Worcester,0000-00-00,6,119000
262,2,www.google.com,single family,Worcester,0000-00-00,6,179900
263,2,www.google.com,single family,Worcester,0000-00-00,7,198500
264,2,www.google.com,single family,Worcester,0000-00-00,4,124900
265,2,www.google.com,single family,Worcester,0000-00-00,6,154900
266,2,www.google.com,single family,Worcester,0000-00-00,7,199900
267,2,www.google.com,single family,Worcester,0000-00-00,7,159000
268,2,www.google.com,single family,Worcester,0000-00-00,5,248900
269,2,www.google.com,single family,Worcester,0000-00-00,6,189900
270,2,www.google.com,single family,Worcester,0000-00-00,7,130000
271,2,www.google.com,single family,Worcester,0000-00-00,7,189900
272,2,www.google.com,single family,Worcester,0000-00-00,6,185000
273,2,www.google.com,single family,Worcester,0000-00-00,6,189500
274,2,www.google.com,single family,Worcester,0000-00-00,6,131750
275,2,www.google.com,single family,Worcester,0000-00-00,6,204900
276,2,www.google.com,single family,Worcester,0000-00-00,5,184900
277,2,www.google.com,single family,Worcester,0000-00-00,6,169900
278,2,www.google.com,single family,Worcester,0000-00-00,7,255000
279,2,www.google.com,single family,Worcester,0000-00-00,6,210000
280,2,www.google.com,single family,Worcester,0000-00-00,5,164900
281,2,www.google.com,single family,Worcester,0000-00-00,7,228000
282,2,www.google.com,single family,Worcester,0000-00-00,5,189900
283,2,www.google.com,single family,Worcester,0000-00-00,7,160000
284,2,www.google.com,single family,Worcester,0000-00-00,11,169900
285,2,www.google.com,single family,Worcester,0000-00-00,8,194000
286,2,www.google.com,single family,Worcester,0000-00-00,7,219999
287,2,www.google.com,single family,Worcester,0000-00-00,8,209000
